"","input","filtered","denoisedF","nonchim"
"NFH20",19030,18483,36,36
"TSe01",4904,4757,18472,18472
"TSe02",7072,6844,4748,4748
"TSe03",6,5,6839,6839
"TSe04",10083,9746,3,3
"TSe05",21328,20621,9741,9741
"TSe06",6991,6787,20619,20619
"TSe07",6086,5887,6785,6785
"TSe08",7593,7251,5882,5882
"TSe09",7303,7092,7238,7127
"TSe10",6813,6587,7085,7085
"TSe11",7404,7178,6586,6586
"TSe12",9507,9178,7172,7172
"TSe13",19772,19082,9176,9176
"TSe14",12468,12071,19069,19069
"TSe15",9506,4233,12055,12055
"TSe16",12253,5413,4180,4180
"TSe17",12167,5012,5404,5350
"TSe18",4248,4099,5008,4849
"TSe19",13687,13177,4099,4099
"TSe20",13132,12315,13173,13173
"TSe21",7427,7207,12306,12306
"TSe22",14758,14299,7198,7198
"TSe23",12044,11646,14295,14295
"TSe24",8457,8022,11642,11642
"TSe25",6,4,8002,8002
"TSe26",7790,7539,2,2
"TSe27",21607,9980,7533,7533
"TSe28",15930,15403,9979,9841
"TSe29",8113,7878,15386,15379
"TSe30",8263,8009,7869,7869
"TSe31",12573,12196,8005,8005
"TSe32",10075,9756,12183,12183
"TSe33",8156,7883,9754,9748
"TSe34",23951,23146,7873,7873
"TSe35",19633,9205,23143,23143
"TSe36",15737,15201,9193,8929
"TSe37",12209,7075,15195,15195
"TSe38",20401,19816,6923,6923
"TSe39",14824,14384,19809,19809
"TSe40",18920,18331,14379,14379
"TSe41",18318,17701,18320,18320
"TSe42",18,9,17691,17691
"TSNC1",152,73,7,7
"TSNC2",33,22,70,70
"TSNC3",665,71,17,17
