JKS_treat,State,MonthofCollection
222,nj,june
263,nj,june
288,nj,june
304,nj,june
344,nj,june
348,nj,june
355,nj,june
507,nj,july
520,nj,july
547,nj,july
558,nj,july
594,nj,july
597,nj,july
602,nj,july
610,nj,july
614,nj,july
625,nj,july
628,nj,july
631,nj,july
641,nj,july
642,nj,july
650,nj,july
660,nj,july
690,nj,july
827,fl,june
906,fl,june
1085,ga,may
1100,ga,may
1123,ga,may
1126,ga,may
1150,ga,may
1165,ga,may
1174,ga,may
1184,ga,may
1204,ga,may
1227,ga,may
1243,ga,may
1294,ga,may
1308,ga,may
1409,ga,may
1486,nc,june
1544,nc,june
1565,nc,june
1596,nc,june
1620,nc,june
1653,nc,june
1704,nc,june
1725,nc,june
1822,nc,june
1823,nc,june
1828,nc,june
2341,ny,july
2735,la,may
2747,la,may
2762,la,may
2778,la,may
2832,la,may
2875,la,may
2896,la,may
2913,la,may
2925,la,may
3000,fl,june
3013,fl,june
3025,fl,june
3060,fl,june
3083,fl,june
3095,fl,june
3113,fl,june
3144,fl,june
3156,fl,june
3196,fl,june
3440,nj,july
3450,nj,july
3463,nj,july
3473,nj,july
3485,nj,july
3497,nj,july
3501,nj,july
3520,nj,july
3559,nj,july
3571,nj,july
3581,nj,july
3591,nj,july
3607,nj,july
3619,nj,july
3634,nj,july
3645,nj,july
3656,nj,july
3662,nj,july
3712,nj,july
3741,nj,july
3766,nj,july
3790,nj,july
3815,nj,july
3827,nj,july
3836,nj,july
3852,nj,july
3864,nj,july
3878,nj,july
